"no";"title";"descr";"year";"imgLink";"genre"
679;"에이리언 2";"에일리언과의 싸움에서 간신히 살아남은 리플리는 잠든 채로 57년을 떠돌다 구조선에 의해 구출된다. 회사는 리플리를 비롯한 당시 승무원들이 노스트로모호를 잃어버린 것을 추궁하지만 에이리언 얘기는 믿지 않는다. 이때 지구와 한 혹성 거주민들의 통신이 두절되는 사건이 벌어지자 리플리는 고문 자격으로 해병대와 동행하게 된다. 혹성에 도착한 해병대원들은 곧 혹성 거주민들이 에일리언 유충의 산 먹이로 된 것을 목격하고, 곧이어 벌어진 교전에서 여러 대원들을 잃는다. 그들은 혹성 거주민들의 실험실로 대피하고, 리플리는 이곳에서 마지막 생존자인 뉴트를 발견하게 된다.";"1986-07-18";"https://image.tmdb.org/t/p/original/8J1SwqmsHRzZ5k8QVRibkzyc9jc.jpg";"[28,53,878]"
680;"펄프 픽션";"펌프킨와 허니 버니가 레스토랑에서 강도 행각을 벌이기 시작한다. 빈센트와 그 동료 쥴스는 두목의 금가방을 찾기 위해 다른 건달이 사는 아파트를 찾아간다. 마르셀러스는 부치에게 돈을 주며 상대 선수에게 져 주라고 하지만 부치는 상대 선수를 때려 눕히고 도망치다, 어릴 때 아버지에게 물려받은 시계를 찾기 위해 아파트로 향한다. 아무런 상관 없이 보이는 이 사건들이 서로 얽히고 섥히면서 예상치 못한 인과관계가 만들어지는데...";"1994-09-10";"https://image.tmdb.org/t/p/original/6lXRHGoEbnnBUKsuqpL9JxD4DzT.jpg";"[53,80]"
681;"007 다이아몬드는 영원히";"남아프리카에서 밀수된 엄청난 양의 다이아몬드가 사라지자 영국 정보부는 제임스 본드에게 다이아몬드 추적을 지시한다. 본드는 관련자들을 한 명씩 추적하며 라스베이거스까지 오게된다. 그 과정에서 관련자들이 차례대로 살해되고 본드도 몇 차례 위기를 넘긴다. 악당 블로펠드는 다이아몬드를 탈취하여 레이저 빔을 이용한 특수무기를 만들고 이 무기로 세계 각국의 군사시설을 파괴하여 위력을 보인 후 적성국가에 팔려고 한다. 본드는 블로펠드의 기지에 뛰어들어 블로펠드의 음모를 제거하고 일당을 모두 처치하려 하는데...";"1971-12-13";"https://image.tmdb.org/t/p/original/uajiHcFX5sOhYB2tBuWkmizbtuU.jpg";"[12,28,53]"
682;"007 황금총을 가진 사나이";"스카라망가는 총쏘는 일을 유일한 즐거움으로 알고 사는 사나이로 한 건당 백만 불이란 거액을 받고 살인을 대행하는 살인청부업자다. 그의 특이한 것은 신체적으로 유두가 세 개라는 점과 황금으로 된 총과 총알을 사용한다는 점. 세계의 에너지 위기를 해결해 줄 태양전지를 발명한 깁슨이라는 사람을 찾는 임무를 맡은 제임스 본드가 하루는 본부에 호출을 당한다. 본드 앞으로 스카라망가의 총알이 우편으로 온 것. 스카라망가의 다음 희생자로 본드가 지목되자 영국 정보부는 본드를 보호하려 하지만 본드는 분노하며 스카라망가와 목숨을 건 혈투를 벌이는데...";"1974-12-01";"https://image.tmdb.org/t/p/original/zULDLrGE42iTiizMJKDoTGbIKlu.jpg";"[12,28,53]"
686;"콘택트";"앨리 에로위(조디 포스터)는 어렸을 적 외계인으로부터 교신을 받은 기억을 지니고 사는 소녀이다.  그녀는 성장하면서도 계속 그 믿음을 지녀 밤마다 모르는 상대와의 교신을 기다리며 단파 방송에 귀를 기울인다. 아버지가 돌아가신 후 자신이 찾고자 하는 절대적인 진리의 해답은 과학에 있다고 믿는 그녀. 천문학자가 된 엘리는 그리움의 대상을 우주 어딘가의 외계생명체에서 찾는다. 마침내 그가 포착한 베가성에서 온 신호는 은하계를 넘나드는 운송수단의 설계도였고 세계는 혼돈에 휩싸이게 되는데...";"1997-07-11";"https://image.tmdb.org/t/p/original/bCpMIywuNZeWt3i5UMLEIc0VSwM.jpg";"[18,878,9648]"
687;"데드 맨 워킹";"매튜 폰스렛은 데이트 중이던 연인을 강간하고 잔혹하게 살해한 혐의로 사형선고를 받은 사형수이다. 그는 감옥생활의 고통을 같이 나눠줄 사람이 필요하다는 내용의 편지를 한통 보낸다. 이 편지는 루이지애나의 흑인 빈민가에 있는 헬렌 수녀에게 도착한다.  그녀는 그를 만나기로 하고 교도소로 간다. 그러나 헬렌은 자신이 무죄라고 주장하며 돈이 없어 변호를 받지 못한다는 매튜의 말을 듣고 그가 사형만은 면할 수 있도록 도와주기 위해 무보수로 봉사하는 힐튼 바버 변호사와 함께 노력한다.  그러나 매튜의 잔혹함을 알고 그 일에서 손을 뗀다. 사형 집행일 6일전 매튜는 헬렌수녀를 찾아 그녀가 자신과 사형장까지 함께 하는 영적 안내자가 되어 달라는 부탁을 한다. 주위의 힐난과 걱정을 뒤로한채 헬렌 수녀는 매튜의 사형 집행일까지 6일 동안을 그와 함께 하기로 결정하는데...";"1995-12-29";"https://image.tmdb.org/t/p/original/wQmmJi5ypfHH2boXrQBmsep7qb2.jpg";"[18]"
688;"매디슨 카운티의 다리";"1965년 미국. 남편과 아이들이 여행을 떠나 혼자 집을 지키고 있던 가정주부 프란체스카(메릴 스트립)는 길을 묻는 낯선 남자를 만난다. 처음 만났을 때부터 쉽게 잊혀지지 않는 그의 이름은 로버트 킨케이드(클린트 이스트우드). 로즈먼 다리의 사진을 찍기 위해 메디슨 카운티를 찾은 사진작가였다.  이유를 붙일 필요도 없이 사랑에 빠져 드는 두 사람. 이미 중년에 이른 그들은 그 동안 살아온 시간을 나누지는 못했어도 앞으로 살아갈 시간만은 함께 하기로 결심한다.  그러나 프란체스카는 남편과 아이들에 대한 죄책감을 떨치지 못하고 메디슨 카운티에 남는데...";"1995-05-28";"https://image.tmdb.org/t/p/original/8dCpmXx5olQSrTfWvtfnS9z7SuO.jpg";"[18,10749]"
691;"007 나를 사랑한 스파이";"해저 500피트에 있던 소련의 핵잠수함 포템킨호가 사라진다. KGB는 잠수함이 사라진 이유를 밝히기 위해 첩보원 트리플 X를 파견한다. 한편 영국 정보부에도 비상이 걸린다. 16개의 핵탄두가 실린 핵잠수함 1척이 사라진 것. 모처럼 오스트리아에서 휴가를 즐기던 제임스 본드는 긴급 지시를 받고 본부로 돌아온다. 사건조사를 위해 이집트로 간 본드. 영국은 자신들과 마찬가지 상황인 KGB와 협력해 사라진 핵잠수함을 찾기로 합의한다. 무지막지한 킬러 죠스로부터 빼앗아 온 필름을 조사한 그들은 칼 스트롬버그라는 인물에 접근하게 되는데...";"1977-07-07";"https://image.tmdb.org/t/p/original/e4AyyGuNq0tmZwnEubuIgXCB4NS.jpg";"[12,28,53]"
693;"미트 페어런츠 2";"4년 전, 전직 CIA 요원 출신 예비 장인 '잭(로버트 드 니로)'에게 '혹독한(?) 신고식'을 치루며 '번즈 패밀리'로 가까스로 인정받은 '그렉(벤 스틸러)'. 이제 그에게 남은 건, 사랑하는 약혼녀 '팸'과의 행복한 '웨딩' 뿐이다. 하지만 이를 이해서 해결해야 할 마지막 '과제'가 남아있었으니,그것은 바로 '상! 견! 례!'. 여전히 '사위'를 맘에 썩 들어하지 않는 장인 어른에게 부모님을 소개하자니 '그렉'의 마음은 천근만근, 좌불안석이다. 하지만 한 번은 꼭 치뤄야(?) 할 그것이기에 불안한 마음을 뒤로 한 채 '그렉'은 '번즈 패밀리'를 데리고 '마이애미'로 향하게 되는데... 과연 '그렉'은 무사히 마지막 '과제'를 마칠 수 있을까?  자신만큼이나 '완벽한(?)' 사돈을 기대한 '잭'에겐 첫 대면부터 그렉의 '부모'가 영 탐탁치 않다. '변호사'라는 아버지 '버니(더스틴 호프만)'은 초면부터 키스로 인사를 해 대고, '의사' 어머니 '로즈(바브라 스트라이샌드)'는 히피 스타일의 옷차림에 성적인 농담을 서슴없이 하는 게 아닌가? '원칙'에 입각한 절도 있는 삶을 살아온 그로서는 절대 이해할 수 없는 부류의 사람들. 하지만 시도 때도 없이 애정표현을 해대고, 대책 없이 솔직한 '퍼커 부부' 때문에 정작 괴로운 사람은 바로 '그렉'이다. 가뜩이나 '잭'에게 미운 털이 박혀 있는데 '부모님'까지 왜 그런단 말인가? 급기야 '그렉' 부모님의 실체(?)가 드러나면서 '퍼커 패밀리'에 대한 '잭' 의 불신은 깊어만 가고, 설상가상으로 글래머러스한 유모 '이자벨'이 등장으로 '그렉'의 숨겨진 과거(?)까지 드러나게 된다. 작금의 사태를 더 이상 묵과할 수 없게 된'잭'은 전직 CIA 요원답게 본격적인 '수사(?)'에 착수하게 되는데... 달라도 너무 다른 '번즈 패밀리'와 '퍼커 패밀리'! 과연 그들은... 한 가족이 될 수 있을까?!";"2004-12-22";"https://image.tmdb.org/t/p/original/5712J7I4Xlv0an6EwpYYK7EmrUS.jpg";"[35,10749]"
694;"샤이닝";"소설가인 잭 토랜스는 콜로라도 산맥에 있는 오버룩 호텔의 관리인으로 취직한다. 다음 시즌 준비를 하는 이곳은 겨울 동안 폐쇄되기 때문에 토랜스의 가족들만 호텔에 머물게 된다. 갑자기 몰아친 폭설로 잭과 아내 웬디와 아들과 함께 호텔에 고립되고, 투시와 텔레파시 능력이 있는 잭의 아들 대니는 호텔에 유령이 있으며 유령들이 천천히 아버지를 미치게 하고 있음을 알게 된다. 잭은 과거에 스스로 자신의 아내와 두 딸을 죽인 이곳의 예전 관리인 그레이디의 유령을 만난다. 과거에 있었던 살인사건의 악령에 휘말린 잭은 호텔을 공포의 도가니로 몰아가는데...";"1980-05-23";"https://image.tmdb.org/t/p/original/vzc4lvpjaZrrfxsnqmhURm37gmB.jpg";"[27,53]"
695;"숏컷";"앤 피나간과 방송국 앵커 하워드 피나간은 부부이다, 이들의 외동아들 캐시가 등교 길에 집 부근에서 간이음식점 웨이츄레스 도린의 차에 치인다. 사고 현장에선 멀쩡해 보이던 캐시는 집에 돌아온 뒤 의식을 잃어버리고 급기야 입원한다.  진은 경찰관이다. 부부 사이가 안좋은 진은 아내 몰래 외도한다. 상대는 살충제살포 헬리콥터 조종사인 스토미의 아내 베티. 스토미와 베티는 별거 상태다. 진은 베티 만으로 만족하지 못한다. 귀가 도중 삐에로인 클레어에게 저속 운전을 빌미로 추근거린다. 남편의 외도를 눈치챈 셰리는 닥터 랄프의 아내이자 자신의 동생인 메리안에게 찾아가 고민을 털어 놓는다.";"1993-09-05";"https://image.tmdb.org/t/p/original/tA7UeE5qXoZ3AWAy8Dq466nahiL.jpg";"[35,18]"
698;"007 문레이커";"미국에서 영국으로 공수 중이던 문레이커가 공중에서 탈취를 당한다. 조사를 맡은 007은 문레이커를 개발, 제조한 장본인인 드랙스가 배후의 인물임을 알아낸다. 드랙스 산업기지에 위장 취업한 CIA 요원 굿헤드와 연합으로 조사하던 중 드랙스가 인간만을 죽이는 독가스로 지구를 깨끗이 청소한 뒤 선택받은 젊은 남녀들로 신인류 제국을 건설하려는 야망을 가지고 있다는 것을 알아낸다. 007과 굿헤드는 몰래 그들 틈에 숨어 드랙스의 우주 기지로 날아간다. 레이더 방해 장치를 파괴하여 지상에 이곳의 존재를 알린 007과 굿헤드는 발사된 독가스 캡슐을 걱정한다.";"1979-06-26";"https://image.tmdb.org/t/p/original/gIbHxO3bn6lrvYt6lZXSReLkWSo.jpg";"[28,12,53,878]"
699;"007 포 유어 아이스 온리";"그리스의 이오니아해에서 ATAC(날아오는 미사일을 지시, 유도할 수있는 초저주파발신기)를 실은 영국의 정보 수집선이 침몰한다. ATAC가 동구측에 들어가기 전에 회수하기 위해 영국은 퇴역 장교로 하여금 인양 작업을 추진시키지만, 그는 딸 멜리나가 보는 앞에서 사살당하고 멜리나는 복수를 다짐한다. 007은 암살자 곤잘레스의 소재를 파악하고 접근하지만 곤잘레스는 멜리나의 복수의 크로스보우에 당하고 만다. 007은 곤잘레스에게 돈을 주던 사내를 추적하여 크리스타토스라는 그리스의 부호가 ATAC를 소련에 팔아 넘기려는 사실을 알아내는데...";"1981-06-23";"https://image.tmdb.org/t/p/original/mjTBqpKhuav4q1HCwaeCfpV3CzV.jpg";"[12,28,53]"
700;"007 옥토퍼시";"첩보원 009가 제정 러시아 시대에 만들어진 세계 최대 사파이어 화벨쥬 에그의 모조품을 손에 쥔 채 의문의 죽음을 당한다. 후임으로 임무를 맡게 된 007은 인도의 대부호이 카말 칸이 화벨쥬 에그의 진품을 노린다는 걸 알게 된다. 한편 소련 원로 장성들의 미온적인 태도에 불만을 느끼고 있는 올로프 장군은 카말칸과 손잡고 소련의 진품 보석을 카말칸 의 모조품과 바꿔치려고 계획한다. 007은 카말 칸의 동업자인 옥토퍼시에게 접근하고, 올로프는 유럽의 나토 사령부에서 미국의 핵폭탄을 터뜨려 이를 핑계로 유럽을 공격하려는 계획을 세우는데...";"1983-06-05";"https://image.tmdb.org/t/p/original/aE2mGWN57yA35uuJwTULhPYrPYX.jpg";"[12,28,53]"
702;"욕망이라는 이름의 전차";"블랑쉬(비비안 리 분)는 욕망이라는 이름의 전차를 타고 미국 남부 항구도시인 뉴 올리언즈에 도착한다. 명문가문 출신인 그녀는 이 퇴락한 도시와는 어울리지 않는 차림새를 하고 여동생의 좁고 허름한 아파트를 수소문해 찾아간다. 여동생의 남편, 스탠리(마론 브란도 분)는 폴란드 출생의 노동자로 다혈질에다 거침없는 성격의 소유자이며 음주와 도박을 일삼는 난폭한 사내이다. 그는 뭔가 환상을 쫓고 있는듯하고 자신이 경멸하는 것같은 블랜치에게 처음부터 적개심을 갖게 되었다. 확실히 블랜치는 이 도시가 어울리지 않다.  현실을 쉽게 받아들여 현실에 녹아들 수 없었던 그녀는 자꾸 자신의 내부로 도피 하려고만 했고 이러한 블랜치를 스탠리는 도저히 참을 수 없다. 그래도 스탠리의 친구 미치는 블랜치에게 관심이 간다. 그녀와 데이트도 하고 그녀를 자기의 어머니에게 소개하려고도 한다. 그러나 스탠리의 방해로 미치는 불랜치의 곁을 떠나고, 스텔라가 아이를 출산하러 병원에 간 사이, 스탠리는 블랜치를 능멸한다. 스텔라의 집앞에 의사와 간호원이 기다리고 있다. 블랜치를 정신병원으로 데려가려고 하는 것이다. 처음에는 따라나서기를 거부하던 블렌치는 의사의 친절한 말에 이끌려 결국 따라나선다.";"1951-09-18";"https://image.tmdb.org/t/p/original/aicdlO5vt7z2ARm279eGzJeYCLQ.jpg";"[18]"
703;"애니 홀";"뉴욕의 스탠드업 코미디언이자 희극 작가인 앨비 싱어(우디 알렌 분)는 친구와 테니스를 치다 패션감각이 뛰어난 미모의 애니(다이앤 키튼 분)를 보고는 한눈에 반해 버린다. 가수가 꿈인 애니 역시 앨비를 싫어하지는 않는 눈치. 그렇게 사랑에 빠져든 두 사람은 마치 10대들처럼 서투르게 관계를 시작하고, 서로의 성과 정체성에 대해 혼란스러워 한다. 차츰 관계가 깊어가면서 두 사람은 어쩔수 없이 서로의 단점들을 보게 된다. 앨비는 자신만만하고 세속적이며 다소 신경질적인 반면 애니는 주의가 산만하고 끈질긴 구석이 있다. 앨비는 가수가 되겠다는 꿈을 간직하고만 있던 애니에게 꿈을 이루도록 복돋워주고, 공부를 하라고 권유한다. 주위에서는 그런 애니를 선망의 시선으로 바라보지만 애니는 그녀의 일에 사사건건 간섭을 하고 트집잡는 앨비가 못마땅하기만 하다. 동료들의 부러움을 사던 앨비와 애니의 사이는 벌어지기 시작하고, 마침 애니에게 앨범을 제작하자는 제안이 들어온다. 애니는 평소에 원하던 가수의 길을 걷기 위해 앨비와 헤어져 캘리포니아로 떠나는데...";"1977-04-19";"https://image.tmdb.org/t/p/original/gBo4G0p8iVS998aYvXS656jbsH2.jpg";"[35,18,10749]"
704;"비틀즈: 하드 데이즈 나이트";"역사상 가장 성공한 팝밴드 비틀즈 이전,  풋풋하고 싱그러운 아이돌 비틀즈의 재기발랄 그 이상의 좌충우돌 하루를 만난다!";"1964-07-07";"https://image.tmdb.org/t/p/original/zu2ObUjORDtm3ezvi7eWFnw7PZB.jpg";"[10402,35]"
705;"이브의 모든 것";"극작가 로이드 리처즈(휴 마로)의 아내이자 유명한 연극 배우 마고 체닝(베티 데이비스)의 절친한 친구인 카렌(셀레스트 홈)은 체닝의 공연이 있던 어느 날 저녁, 무대 뒤편에서 매력적인 이브(앤 박스터)란 여인을 만난다. 이브는 카렌에게 자신의 이름과 함께 자신이 마고 체닝의 열렬한 팬이란 사실을 말한다. 이브의 참한 용모와 진솔한 태도에 감명받은 카렌은 이브를 분장실로 데리고 들어가 마고 체닝을 소개시켜주고 이브는 이 자리에서 자신의 지나온 일들을 털어놓는다. 가난했던 어린 시절, 양조장에서의 생활, 사랑하는 남편을 만났으나 전쟁터에서 전사한 얘기, 그리고 우연히 들른 샌프란시스코 극장에서 마고 체닝의 연극을 보고 뉴욕까지 쫓아온 얘기 등 이브의 얘기에 감명을 받은 마고 체닝은 그녀를 자신의 집으로 데려가 비서로 채용하고 이브는 그녀의 스케줄 관리부터 음식에 이르기까지 그녀의 손발이 되어 열심히 일하는데...";"1950-10-06";"https://image.tmdb.org/t/p/original/6numIZH6uR3NlJgY9m7nGH0jhs.jpg";"[18]"
707;"007 뷰 투 어 킬";"007은 시베리아 눈 속에 파묻힌 003의 시체에서 마이크로칩을 발견한다. 핵폭탄이 터지면 자성파가 나와 마이크로칩을 사용하는 모든 전자제품의 기능이 마비되는데 영국의 한 방위산업체가 자성파에 영향을 받지 않는 마이크로칩 개발에 성공한 것. 맥스라는 프랑스 기업가가 인수한 그 회사사가 소련과 관계가 있다고 확신한 영국 정보부는 007에게 맥스를 조사하도록 지시를 내린다. 그 과정에서 007은 그에게 땅을 빼앗긴 스테이시란 여성을 만나고 그녀의 도움으로 맥스의 엄청난 음모를 알게 되는데...";"1985-05-24";"https://image.tmdb.org/t/p/original/cCxfmHZPf3dAhO995VxvAJp9cow.jpg";"[12,28,53]"
708;"007 리빙 데이라이트";"지브롤터에서 00섹션 요원들의 모의훈련 도중 004가 의문의 죽음을 당한다. 한편 소련 고관 코스코프가 체코에서 망명을 하려하는데 이에 007이 돕게 된다. 이 과정에서 코스코프를 사살하려는 첼리스트 여자 저격수를 처치하려하나 이상한 예감에 가벼운 상처만 입힌다. 영국 정보부는 코스코프에게서 소련의 푸쉬킨 장군이 영국과 미국의 스파이를 암살하는 스미어트 스피어넘 작전을 진행 중이라는 정보를 얻게 되지만 이 모든 것은 무기 판매상 휘태커와 손잡은 코스코프가 푸쉬킨을 제거하려는 게획이었는데...";"1987-06-29";"https://image.tmdb.org/t/p/original/f6c4z7mOjFeoiaXmPDqVsliLNoo.jpg";"[28,12,53]"
709;"007 살인 면허";"플로리다의 어느 화창한 휴일, 제임스 본드의 오랜 친구인 펠릭스 라이터의 결혼식. 007이 막 결혼식에 참석하려던 찰나, 억만장자 마약왕 산체스가 근처에 있다는 보고를 받는다. 한때 CIA 요원이었던 라이터는 남 플로리다의 마약소속반으로 활약하면서 산체스를 법정에 세우기 위해 필사의 노력을 기울였지만 산체스에게 매수된 정치인들의 비호 때문에 매번 실패를 거듭했다. 드디어 산체스를 잡을 기회가 온 것. 본드와 라이터는 산체스를 잡기 위해 육상과 공중을 오가며 숨막히는 추격전을 벌이는데...";"1989-06-13";"https://image.tmdb.org/t/p/original/7ZMywWAWFj4WsPrp00VtOZRGyu7.jpg";"[12,28,53]"
710;"007 골든 아이";"골든 아이라는 비밀 신무기가 냉전시대 때 미국과 소련에 의해 개발된다. 이 신병기의 목적은 대기권 밖에서 핵무기를 폭발시켜 전자 회로를 가진 적의 모든 장비를 마비시키는 것. 그런데 이 골든 아이가 도난당하는 사고가 발생하자 영국 최고의 첩보원 007은 러시아로 향한다. 골든 아이를 훔쳐간 무리의 두목은 007의 과거 파트너였던 006. 그는  공산주의와 싸우기 한 집단, 코자크에 소속되어 있던 자신의 부모가 죽은 이유가 1945년 2차대전 후 영국의 배신 때문이라고 생각한다. 006은 부모의 복수를 위해 러시아 군부 장성과 함께 음모를 꾸미는데...";"1995-11-16";"https://image.tmdb.org/t/p/original/b0tjkc1p5dWW9KQFgnCt2zgequ6.jpg";"[12,28,53]"
712;"네번의 결혼식과 한번의 장례식";"찰스는 토요일만 되면 남의 결혼식에 달려가느라 바쁜 총각이다. 정작 자신은 짝을 구하지도 못한 채, 남의 들러리나 서 주는 신세다. 물론 챨스에게도 지나간 여자 친구는 많았지만, 그 누구에게도 진정한 사랑을 느끼면서 천생배필이라고 생각해 본 적이 없다. 어느 토요일, 챨스는 친구의 결혼식에 들러리를 서주러 갔다가, 눈에 번쩍 뜨이는 여인 캐리를 발견하게 된다. 결국, 그 여인과 하룻밤을 같이 지내게 되지만, 미국으로 돌아가야 하는 그녀는 아무런 언약도 없이 훌쩍 떠나 버린다. 아쉽지만 다시금 일상생활로 돌아 온 챨스. 결혼식에서 눈이 맞은 커플인 리디아와 버나드의 결혼식에 참석한 챨스는 거기서 예전의 그 여인 캐리를 다시 만나게 되어 펄쩍 뛰면서 좋아한다. 그러나, 그녀는 돈 많고, 명망있는 영국의 정치가 해미쉬와 약혼을 한 상태였다. 그녀를 사랑한다는 것을 알게 된 챨스는 또 다시 같이 하룻밤을 보낸 후, 그녀를 또 떠나 보낸다. 캐리의 결혼식 날, 챨스는 우울한 마음으로 친구들과 같이 참석을 한다. 불행하게도 그 결혼식에선 호탕한 친구 가레스가 심장마비로 쓰러지고, 곧이어 장례식에 다들 참석해야 하는 신세가 된다. 장례식에서 챨스는 영원한 사랑만을 찾는 것은 불가능하다고 생각하게 된다. 그로부터 열달 후, 챨스는 별로 사랑하지도 않는 헨이란 옛 여자 친구와 결혼을 하기로 결심한다. 찰스와 헨의 결혼식날, 전의 그 여인 캐리가 식장으로 찾아와서, 자신은 이혼을 했음을 알려준다. 자신이 진정으로 사랑했던 여인이 캐리라는 것을 깨달은 챨스는 헨과 하객들에게는 죄를 짓는 것이지만, 사랑하는 여인을 선택하기로 결정하고, 결혼식을 무산시킨다. 결혼에 대한 자신의 생각은 단지, 환상이었음을 알게 된 챨스는 이제 캐리와, 결혼이란 구속에 얽메이지 않고, 뜨겁게 사랑을 하면서, 아들도 낳아 기르며, 행복하게 살아가게 된다.";"1994-03-09";"https://image.tmdb.org/t/p/original/xrQJdAWgEfF3Bkxmj7F0GPXQ17q.jpg";"[35,18,10749]"
713;"피아노";"19세기 말. 20대의 미혼모 ‘에이다’는 아홉 살 난 사생아 딸 ‘플로라’를 데리고 얼굴도 모르는 남자와 결혼하기 위해 낯선 땅 뉴질랜드에 도착한다. 여섯 살 때부터 말하기를 그만두고 침묵을 선택한 ‘에이다’를 세상과 이어주는 유일한 통로는 피아노와 딸 ‘플로라’ 뿐이다. 모녀를 데려가기 위해 해변가에 온 남편 ‘스튜어트’는 ‘에이다’에게 생명만큼이나 소중한 피아노를 해변가에 버려두고 집으로 향한다. 피아노를 두고 갈 수 없었던 ‘에이다’는 바닷가에서 피아노를 연주하고 이 모습에 반한 ‘베인스’는 그녀와 비밀스럽고도 열정적인 사랑에 빠져드는데….";"1993-05-19";"https://image.tmdb.org/t/p/original/jPlRW4JRNz6gdEfGjQGZcqc0p1M.jpg";"[18,10749]"
714;"007 네버 다이";"세계적으로 공산주의 체제가 붕괴되면서 극단적인 냉전 상태가 끝나 과거와 같이 뚜렷한 적이 사라진 지금 엘리엇 카버가 등장한다. 카버 미디어라는 세계적 대중 매체의 거부인 그는 인공위성과 통신망, 그리고 신문과 TV를 교묘히 이용하여 3차 세계 대전을 일으킴으로써 주요 강대국을 무력화시키고 세계를 정복하려는 야망을 꿈꾸고 있다. 그 1차 실행목표는 중국과 영국의 전쟁. 그는 인공위성의 조작을 통해 공해상에 있는 영국 구축함의 레이다망을 교란시켜 중국 영해내로 유도하고, 중국의 전투기를 출동하게 만드는데...";"1997-12-11";"https://image.tmdb.org/t/p/original/riB1FEshU8ywqvB8VuOfPt0EBF7.jpg";"[12,28,53]"
744;"탑 건";"해군 최신예 전투기인 F-14기를 모는 젊은 조종사 매버릭 대위(톰 크루즈)는 훌륭한 전투기 조종사였던 아버지를 둔 패기만만한 파일럿 청년. 솜씨가 거칠기로 소문난 그는 탑 건 훈련학교에 입학하면서 인생의 전환을 맞게 된다. 가장 큰 변화는 항공물리학을 강의하는 여교관 찰리(켈리 맥길리스)와 사랑에 빠진 것. 하지만 매버릭이 조종하던 F-14 전투기가 비행 훈련 도중 그만 제트 기류에 빠지면서 엔진 고장을 일으키고, 이때 함께 탈출을 시도하던 구즈(안소니 에드워즈)가 사망하는 사고가 발생하고 마는데...";"1986-05-16";"https://image.tmdb.org/t/p/original/9DVdYFqGXdMPLgIfqQxNpUWz266.jpg";"[28,18,12]"
745;"식스 센스";"아동 심리학자인 크로우 박사(브루스 윌리스)는 필라델피아 주지사에게 아동을 위해 기여했다는 공로로 상을 받는다. 그날 밤, 부인과 함께 2층에 올라간 말콤 박사는 낯선 침입자를 발견하게 된다. 그 침입자는 몇 년 전 말콤 박사가 치료를 맡았던 '빈센트 그레이'라는 환자인데, 박사는 그에게 총상을 입고 그는 자살한다. 이듬 해 가을, 총상에서 회복한 크로우 박사는 '콜 시어'라는 자폐증에 걸린 8살 된 소년의 정신 치료를 맡게 된다. 콜은 처음엔 쉽게 마음을 열지 않다가 박사의 계속된 노력으로 누구에게도 말하지 않은 비밀을 말한다. 즉 콜은 항상 귀신들이 보이며, 귀신들은 자신이 죽었는지조차 모르고, 보고 싶은 것만 본다고 이야기한다. 박사는 쉽게 믿으려 하지를 않고 마침 부인의 외도를 목격한 후 콜의 치료를 포기하려고 한다. 그러다가 박사는 옛 환자였던 빈센트와의 상담 녹음 테잎에서 귀신의 소리인 듯한 소리를 듣게 되고 콜을 찾아가 콜이 귀신에 대한 공포를 이겨내는 걸 돕게 된다.";"1999-08-06";"https://image.tmdb.org/t/p/original/74iA0M8TI2N0E1kQpcB6ZWocPO5.jpg";"[9648,53,18]"
746;"마지막 황제";"1950년, 44세의 푸이는 소련군의 감시 아래 중국인 전쟁범 800명과 함께 조국으로 돌아가면서 자기비판의 생애를 기록하며 황제였던 과거를 회상한다. 1906년 자식이 없는 광서제의 뒤를 이어 황제가 된 4살의 푸이는 즉위 3년째 신해혁명을 당해 궁중 생활의 마지막을 맞는다. 자금성에서의 연금 생활을 하며 결혼을 하고 시대 상황을 깨달은 푸이는 영국인 가정교사의 영향으로 유학에의 꿈을 가진다. 그러나 1924년 군사 쿠데타에 의해 일본으로 피한 푸이는 유학에의 꿈을 상실한 채 일본 특무기간원의 감언에 넘어가 만주국의 집정이 되고 2년 후에는 황제로 등극하게 되는데...";"1987-05-27";"https://image.tmdb.org/t/p/original/otyUU1hCb9xbUyksJkPvId8glGz.jpg";"[18,36]"
747;"새벽의 황당한 저주";"별볼일 없는 주인공 숀이 여자친구 리즈에게 채일 무렵, 영국에는 정체를 알 수 없는 전염병이 돌면서 거리는 사람들을 먹어치우는 좀비들로 가득 찬다. 주위 사람들이 하나둘 좀비로 변해가는 이 뒤죽박죽의 상황에서 숀은 여자친구인 리즈를 구해내고 그녀의 사랑을 다시 얻기 위해 고군분투한다.";"2004-04-09";"https://image.tmdb.org/t/p/original/y7eDuFR9DevYINfvTqA2TsWpJ85.jpg";"[27,35]"
